Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,04-09-2025 18:01,Howrah,West Bengal,India,Circle,Seen from the window of a flat on the fourth floor of the apartment.,04-09-2025,,
Open,04-05-2025 22:15,Dindigul,Tamil Nadu,India,Circle,Strange Circle of Lights in Night Sky,04-05-2025,Y,Searchlight
Open,03/18/2025 20:06,Haridwar,Uttarakhand,India,Triangle,"Saw a silent, transparent/black triangular craft at night with 3 lights underneath it; vanished quickly.",03/18/2025,,
Open,03/18/2025 05:00,Ranchi,Jharkhand,India,Disk,I was waiting for my father when i saw a disk like object flying and it suddenly got missing .,03/18/2025,,
Open,03-11-2025 19:17,Gurugram,Haryana,India,Circle,Glowing Orb,03-11-2025,Y,ISS
Open,02-01-2025 23:59,Bengaluru,Karnataka,India,Unknown,"It looked like a drone ( I thought it was one , emitting white or red light , sometimes green ).",02-03-2025,,Drone?
Open,02-01-2025 18:05,Bengaluru,Karnataka,India,Cigar,I went to get my dry cleaned bed sheets from top of my house I saw the object moving at a speed of F-16 800-900 miles per hour,02-01-2025,,
Open,01/29/2025 20:36,Bheelon Ka Bedla,Rajasthan,India,Orb,"i saw several UFO coming from down to up, they flies randomly anywhere ,they are visible only for 4-5seconds then disappear",01/30/2025,Y,
Open,01/18/2025 18:15,Sunkarametta,Andhra Pradesh,India,Other,I was on a trip with my friends and we saw a flying object and took a picture of it,01/22/2025,Y,
Open,01-09-2025 19:28,Rajkot,Gujarat,India,Circle,Unidentified blue bigger than moon object with halo around it.,01-09-2025,Y,Camera Anomaly?
Open,01-04-2025 18:12,Bengaluru,Karnataka,India,Unknown,It looked like it was burning,01-04-2025,,
Open,12/24/2024 20:49,Thrissur,Kerala,India,Circle,"Saw the circle, noticed only 2, not clear to bare eye but noticeable, constantly colour changing and flashing",12/24/2024,,
Open,12/23/2024 23:03,Pune,Maharashtra,India,Circle,I saw there was a bright light above my balcony when i was going to hang my underwear to dry. Saw a blue light,12/23/2024,,
Open,12/22/2024 19:13,Kaniyapuram,Kerala,India,Disk,"Disk shaped object, blinking one red and two white lights, circling a specific area for hours.",12/22/2024,,
Open,12/21/2024 19:03,Kerala,,India,Star,"UAP spotted over Kerala, India",12/22/2024,,Satellite?
Open,12/21/2024 17:04,Jaipur,Rajasthan,India,Circle,I was flying kites and I see a circle white thing apear I thought it was plane when I check flight radar it was not,12/21/2024,,
Open,12/16/2024 17:30,Dibrugarh,Assam,India,Circle,Suddenly see the object coming from the star,12/18/2024,Y,
Open,12/16/2024 17:20,Nagaon,Assam,India,Circle,It was moving silently no sound nothing just a white circular light moving to the southward direction.,02/17/2025,Y,Aircraft?
Open,12/14/2024 17:52,Gurugram,Haryana,India,Cube,Low altitude 6 flying crafts,12/14/2024,Y,Balloon
Open,12-12-2024 17:20,Bengaluru,Karnataka,India,Egg,Saw a black ball remaining stationary for around 30 minutes in the air. It is sure that it is not an aircraft.,12-12-2024,Y,
Open,12-02-2024 21:37,Kanpur,Uttar Pradesh,India,Changing,Blinking lights could have been Morse code,12-03-2024,Y,
Open,10/31/2024 22:50,Howrah,West Bengal,India,Formation,7 grey orbs flying in formation of a diamond from which a single orb moved away making the formation look like a triangle.,10/31/2024,,
Open,10/23/2024 23:30,Delhi,Delhi,India,Triangle,I saw a white/translucent boomerang shaped aircraft which disappeared within 6-8 seconds but it looked like it was going farther away,10/23/2024,,
Open,10-06-2024 19:06,Hamirpur,Himachal Pradesh,India,Chevron,Chevron shape but its arms were long thin and have little curve in it,10-06-2024,Y,
Open,10-04-2024 19:40,Virar,Maharashtra,India,Circle,"Bigger and bright than comet, speedier than rocket. Vanished in thin air in 2-3 secs. Sky was not cloudy.",10-04-2024,,
Open,09/19/2024 19:23,Mumbai,Maharashtra,India,Star,It appeared to be a star which kept getting brighter and brighter and BRIGHTER and then started rising up getting and vanished w zigzag,02/18/2025,,
Open,09-04-2024 01:01,Raipur,Chhattisgarh,India,Unknown,"Fast Moving , circular pattern , moving in swirls extreme fast , disappeared after unknown path within 15 minutes like vanish",09-03-2024,Y,
Open,08/29/2024 23:50,Surat,Gujarat,India,Circle,"Saw 2 small, erratic white lights in night sky, no planes on radar; too high for drones",08/29/2024,Y,
Open,08/19/2024 20:04,Chennai,Tamil Nadu,India,Circle,Saw a circle shaped UFO with 6 bright green lights,08/20/2024,Y,
Open,08/19/2024 19:30,Visakhapatnam,Andhra Pradesh,India,Diamond,Hovering for a long time more than 45 minutes every day at nights at 7:00 pm and early mornings at 4:15 am.,08/18/2024,,
Open,07/24/2024 20:19,Erode,Tamil Nadu,India,Circle,I thought it was a meteorite but it came fast and stopped for 2 or 3 seconds and then went fast,07/24/2024,,
Open,07/20/2024 20:00,Aduthurai,Tamil Nadu,India,Unknown,4 objects they fly same place around 10 to 15 minutes,09-01-2024,,
Open,07-12-2024 00:08,Sathyamangalam,Tamil Nadu,India,Light,10 mints,07-11-2024,Y,
Open,07-06-2024 19:50,Erumeli,Kerala,India,Light,A bright white star like object moviing faster than the speed of a plane.,07-07-2024,,Satellite?
Open,06-05-2024 08:30,Nathdwara,Rajasthan,India,Circle,We were seeing laser show at Statue of Belief and suddenly we saw in the 6 circle like discs going high in the sky.,06-05-2024,Y,
Open,05/31/2024 22:50,Nashik,Maharashtra,India,Disk,We saw at night no clouds clear sky suddenly we saw a bright shining white disk shaped object slowly moving and suddenly wanished.,05/31/2024,,
Open,05/28/2024 22:52,Konnaiyur,Tamil Nadu,India,Cone,We both saw the V shape ufo. It has white light glowing in circles shape.,05/28/2024,,
Open,05-04-2024 19:10,Mangaluru,Karnataka,India,Light,Bright light object looked like a satellite. Moving at the speed of a satellite. But irregular patterns,05-04-2024,Y,
Open,05-01-2024 22:30,,Delhi,India,Star,Saw 20-30 stars emerge in from the Auriga constellation and travel and turned conspicuously east of Star Capella,05-01-2024,,
